carnet,nombre,carrera,departamento,promedio
EST000000,Estudiante 0,Ingeniería en Sistemas,Santa Ana,7.51
EST000001,Estudiante 1,Contaduría,San Salvador,9.42
EST000002,Estudiante 2,Contaduría,Sonsonate,7.78
EST000003,Estudiante 3,Contaduría,Sonsonate,9.21
EST000004,Estudiante 4,Arquitectura,Sonsonate,7.21
EST000005,Estudiante 5,Ingeniería en Sistemas,Sonsonate,5.4
EST000006,Estudiante 6,Administración,San Salvador,7.25
EST000007,Estudiante 7,Arquitectura,Santa Ana,6.05
EST000008,Estudiante 8,Administración,Santa Ana,9.9
EST000009,Estudiante 9,Administración,San Miguel,10.0
EST000010,Estudiante 10,Contaduría,San Salvador,8.62
EST000011,Estudiante 11,Ingeniería en Sistemas,Sonsonate,7.69
EST000012,Estudiante 12,Administración,San Miguel,5.7
EST000013,Estudiante 13,Contaduría,Santa Ana,5.12
EST000014,Estudiante 14,Administración,Santa Ana,7.31
EST000015,Estudiante 15,Ingeniería en Sistemas,San Miguel,9.45
EST000016,Estudiante 16,Contaduría,San Miguel,9.34
EST000017,Estudiante 17,Arquitectura,Sonsonate,9.01
EST000018,Estudiante 18,Contaduría,San Miguel,6.99
EST000019,Estudiante 19,Contaduría,Santa Ana,9.22
EST000020,Estudiante 20,Contaduría,San Miguel,7.56
EST000021,Estudiante 21,Ingeniería en Sistemas,Sonsonate,6.12
EST000022,Estudiante 22,Ingeniería Industrial,San Salvador,9.81
EST000023,Estudiante 23,Contaduría,San Salvador,8.59
EST000024,Estudiante 24,Arquitectura,San Miguel,5.71
EST000025,Estudiante 25,Ingeniería Industrial,San Salvador,8.13
EST000026,Estudiante 26,Arquitectura,San Miguel,8.57
EST000027,Estudiante 27,Contaduría,Santa Ana,7.8
EST000028,Estudiante 28,Administración,Sonsonate,9.0
EST000029,Estudiante 29,Contaduría,San Miguel,9.02
EST000030,Estudiante 30,Arquitectura,San Miguel,6.01
EST000031,Estudiante 31,Administración,San Salvador,5.17
EST000032,Estudiante 32,Contaduría,San Miguel,9.02
EST000033,Estudiante 33,Arquitectura,Santa Ana,9.61
EST000034,Estudiante 34,Administración,San Miguel,7.33
EST000035,Estudiante 35,Arquitectura,San Miguel,7.79
EST000036,Estudiante 36,Ingeniería en Sistemas,Santa Ana,6.58
EST000037,Estudiante 37,Ingeniería en Sistemas,San Miguel,8.45
EST000038,Estudiante 38,Contaduría,Santa Ana,7.26
EST000039,Estudiante 39,Ingeniería Industrial,San Miguel,9.21
EST000040,Estudiante 40,Arquitectura,San Salvador,8.24
EST000041,Estudiante 41,Arquitectura,Santa Ana,5.48
EST000042,Estudiante 42,Arquitectura,La Libertad,7.25
EST000043,Estudiante 43,Ingeniería en Sistemas,San Salvador,5.0
EST000044,Estudiante 44,Contaduría,Sonsonate,9.66
EST000045,Estudiante 45,Ingeniería en Sistemas,Sonsonate,8.97
EST000046,Estudiante 46,Ingeniería Industrial,San Salvador,8.11
EST000047,Estudiante 47,Contaduría,Santa Ana,8.34
EST000048,Estudiante 48,Administración,La Libertad,5.03
EST000049,Estudiante 49,Contaduría,Sonsonate,8.85
EST000050,Estudiante 50,Arquitectura,La Libertad,7.73
EST000051,Estudiante 51,Arquitectura,Sonsonate,5.66
EST000052,Estudiante 52,Contaduría,Sonsonate,6.45
EST000053,Estudiante 53,Arquitectura,La Libertad,9.68
EST000054,Estudiante 54,Contaduría,Santa Ana,7.54
EST000055,Estudiante 55,Arquitectura,La Libertad,7.6
EST000056,Estudiante 56,Ingeniería Industrial,San Miguel,5.07
EST000057,Estudiante 57,Ingeniería en Sistemas,San Miguel,9.44
EST000058,Estudiante 58,Ingeniería en Sistemas,Santa Ana,8.23
EST000059,Estudiante 59,Ingeniería en Sistemas,San Salvador,7.55
